Permit,Site / Facility,City,Owner / Operator,Date Issued,Primary SIC/NAICS code,Seconday SIC/NAICS code,GPS Latitude,GPS Longitude,Facility Physical Address,Facility Physical Description,Borough (or similar governemtn subdivision),Phone number,email address
AKR06AC23,Livengood Gold Project 2,Livengood,"Tower Hill Mines, Inc.",30-Jul-15,,,,,,,,,
AKR06AC21,UniSea Inc-Dutch Harbor Facility,Dutch Harbor,"UniSea, Inc.",30-Jul-15,,,,,,,,,
AKR06AC20,Nikiski Facility,Nikiski,"Peak Oilfield Services Co, LLC",30-Jul-15,,,,,,,,,
AKR06AB63,"Wright Air Service, Inc.",Fairbanks,"Wright Air Service, Inc.",29-Jul-15,,,,,,,,,
AKR06AB55,Anchorage Section and Yard ARRC,Anchorage,Alaska Railroad Corp.,28-Jul-15,,,,,,,,,
AKR06AB51,Southside Pit,North Pole,Exclusive Paving / University Redi-Mix,28-Jul-15,,,,,,,,,
AKR06AA86,Insulfoam,Anchorage,Insulfoam,27-Jul-15,,,,,,,,,
AKR06AA19,"Bering Shai Rock &amp; Gravel, LLC",Unalaska,"Bering Shai Rock &amp; Gravel, LLC",24-Jul-15,,,,,,,,,
AKR06AB28,Petersburg Ferry Terminal ,Petersburg,Alaska Marine Highway System ,24-Jul-15,,,,,,,,,
AKR06AB27,Ketchikan Marine Engineering Facility ,Ketchikan,Alaska Marine Highway System ,24-Jul-15,,,,,,,,,
AKR06AB38,Wrangell Ferry Terminal ,Wrangell,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB36,Valdez Ferry Terminal ,Valdez,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB26,Ketchikan Ferry Terminal ,Ketchikan,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB34,Sitka Ferry Terminal ,Sitka,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB35,Skagway Ferry Terminal ,Skagway,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB37,Whittier Ferry Terminal ,Whittier,Alaska Marine Highway System ,23-Jul-15,,,,,,,,,
AKR06AB47,Alaskan Brewing Co,Juneau,Alaskan Brewing Company,22-Jul-15,,,,,,,,,
AKR06AA15,Haines Ferry Terminal_3,Haines,Alaska Marine Highway System,22-Jul-15,,,,,,,,,
AKR06AB25,Hoonah Ferry Terminal ,Hoonah,Alaska Marine Highway System ,22-Jul-15,,,,,,,,,
AKR06AB24,Homer Ferry Terminal ,Homer,Alaska Marine Highway System ,22-Jul-15,,,,,,,,,
AKR06AA14,Auke Bay Ferry Terminal-Juneau,Juneau,Alaska Marine Highway System,22-Jul-15,,,,,,,,,
AKR06AB23,Cordova Ferry Terminal ,Cordova,Alaska Marine Highway System ,22-Jul-15,,,,,,,,,
AKR06AB48,FNSB Solid Waste Landfill Facility,Fairbanks,FNSB,21-Jul-15,,,,,,,,,
AKR06AB41,"Northern Enterprises Boat Yard, Inc.",Homer,"Northern Enterprises Boat Yard, Inc.",16-Jul-15,,,,,,,,,
AKR06AA97,Granite Creek Industrial Area,Sitka,City and Borough of Sitka,13-Jul-15,,,,,,,,,
AKR06AB22,Sawmill Cove Industrial Park Recycling Center,Sitka,City and Borough of Sitka,13-Jul-15,,,,,,,,,
AKR06AB29,Petro Star Inc. Valdez Petroleum Terminal,Valdez,Petro Star Inc.,13-Jul-15,,,,,,,,,
AKR06AB13,Alaska West Express Whitney Facility,Anchorage,Alaska West Express,9-Jul-15,,,,,,,,,
AKR06AB18,True North Reclamation Site,Fairbanks,Fairbanks Gold Mine Inc,9-Jul-15,,,,,,,,,
AKR06AB21,Kenai Facility,Nikiski,Schlumberger Technology Corporation,9-Jul-15,,,,,,,,,
AKR06AB10,Alaska West Express Fairbanks Terminal,Fairbanks,Alaska West Express,8-Jul-15,,,,,,,,,
AKR06AB15,South Miller Loop  Yard,Nikiski,Schlumberger Technology Corporation,8-Jul-15,,,,,,,,,
AKR06AB12,US Coast Guard Base Ketchikan,Ketchikan,US Coast Guard Base Ketchikan,7-Jul-15,,,,,,,,,
AKR06AB05,Lynden Transport Anchorage Service Center,Anchorage,Lynden Transport,6-Jul-15,,,,,,,,,
AKR06AB04,Lynden Transport Fairbanks Service Center,Fairbanks,Lynden Transport Inc,6-Jul-15,,,,,,,,,
AKR06AB03,Westward Seafood Terminal,Dutch Harbor,Petro Star dba North Pacific Fuel,2-Jul-15,,,,,,,,,
AKR06AB08,Ballyhoo Tank Farm,Dutch Harbor,Petro Star Inc. dba North Pacific Fuel,2-Jul-15,,,,,,,,,
AKR06AB09,Resoff Tank Farm,Dutch Harbor,Petro Star inc. dba North Pacific Fuel,2-Jul-15,,,,,,,,,
AKR06AB00,Anchorage Regional Landfill,Eagle River,Municipality of Anchorage Solid Waster S,30-Jun-15,,,,,,,,,
