CWPName,SourceID,CWPStreet,CWPCity,CWPState,RegistryID,CWPSICCodes,CWPNAICSCodes,FacLat,FacLong,CWPFacilityTypeCode,FacMapFlg,"DFR URL"
"TED STEVENS AIRPORT AUTHORITY",AKR061001,"5000 WEST INTERNATIONAL AIRPORT ROAD",ANCHORAGE,AK,110000779961,4581,,61.181239,-149.993591,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061001&sys=ICP
"TESORO LOGISTICS OPERATIONS LLC - NIKISKI TERMINAL",AKR06AE63,"MILE 21.5 KENAI SPUR HIGHWAY",KENAI,AK,110007919547,"1389 5171",424710,60.679316,-151.387825,COR,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE63&sys=ICP
"TRIDENT KODIAK-SOK",AKR06AE25,"111 W MARINE WAY",KODIAK,AK,110015306284,2092,,57.786622,-152.403996,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE25&sys=ICP
"TRIDENT SEAFOODS AKUTAN FACILITY",AKR06AE51,"73 TRIDENT WAY",AKUTAN,AK,110002003153,2092,,54.132189,-165.786894,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE51&sys=ICP
"TRIDENT SEAFOODS CORDOVA NORTH FACILITY",AKR06AE37,"301 JIM POOR AVE",CORDOVA,AK,110011383001,2092,,47.66613,-122.3843,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE37&sys=ICP
"TRIDENT SEAFOODS CORDOVA SOUTH MSGP",AKR06AF64,"545 RAILROAD AVE",CORDOVA,AK,110006618437,2092,,60.544519,-145.76245,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF64&sys=ICP
"TRIDENT SEAFOODS KETCHIKAN FACILITY",AKR06AD95,"720 STEDMAN STREET",KETCHIKAN,AK,110006618570,2092,,55.338118,-131.636074,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AD95&sys=ICP
"TRIDENT SEAFOODS KODIAK PILLAR MOUNTAIN - KPM",AKR06AF55,"521 SHELIKOF STREET",KODIAK,AK,110070250356,2092,,57.78619,-152.41806,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF55&sys=ICP
"TRIDENT SEAFOODS PETERSBURG-MSGP",AKR06AF48,"301 HARBOR WAY",PETERSBURG,AK,110050458211,2092,,56.813542,-132.957279,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF48&sys=ICP
"TRIDENT SEAFOODS WRANGELL FACILITY",AKR06AE87,"641 SHAKES ST",WRANGELL,AK,110041624141,2092,,56.467185,-132.382137,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE87&sys=ICP
"UGADAGA QUARRY",AKR06AA26,"300 OVERLAND DRIVE",UNALASKA,AK,110070254641,"1429 1422",,53.8531,-166.49777,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA26&sys=ICP
"UPS-ANCHORAGE GATEWAY ANC-GP",AKR061010,"6200 LOCKHEED AVE.",ANCHORAGE,AK,110070216267,"4513 4215",,61.19536,-149.99629,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061010&sys=ICP
"USCG AIR STATION SITKA",AKR06AC25,"611 AIRPORT RD",SITKA,AK,110063219618,4581,,57.0283,-135.217,FDF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AC25&sys=ICP
"WHITTIER TERMINAL",AKR06AA62,"950 WHITTIER ROAD",WHITTIER,AK,110070072425,5171,,60.775383,-148.69024,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA62&sys=ICP
