Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
Wartgow Construction,Wartgow Pit,"T42N,R2W,S4",SHANAGOLDEN - T,Ashland,649022770,25685,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Wascott Town of,Town of Wascott Buckley Island Road Pit,NW NE Sec 3 T43 R13 W,WASCOTT - T,Douglas,816124870,56353,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Washburn County Highway Department,Highway 77 NMM,NE/NW Sec27 T42N R11W,SPOONER - C,Washburn,399093530,51216,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Washburn County Highway Department,Dulian Pit,"N1350 Sugar Bush Lane, Birchwood, WI 54817",BIRCHWOOD - T,Washburn,866017130,51337,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Washburn County Highway Department,Cranberry Pit,Hwy 53,BEAVER BROOK - T,Washburn,,26125,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Washburn County Highway Department,Top-O-WI Co Borrow Site,Hwy 63 & H,SPOONER - T,Washburn,,26124,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Washington Town,Town of Washington Sand & Gravel Pit,Gunnlaugsson Road,WASHINGTON - T,Door,,31939,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Waste Management of Wisconsin Inc,Stark Borrow Area,"2302 Wall Street, Berlin, SE1/2 NE Section 6 T17N R14E",NEPEUSKUN - T,Winnebago,471177960,9468,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Watertown City,Watertown City Quarry,"408 Bonner St, Watertown, WI",WATERTOWN - C,Dodge,114117520,2908,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Waupaca County Highway Department,Thiel Pit,N4805 Baldwin Road,MANAWA - C,Waupaca,,38626,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Waupaca Sand & Stone Inc Tessen Pit,Tessen Property,NW SW S2 T20N R12E,SAXEVILLE - T,Waushara,,33941,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Waupaca Sand & Stone, Inc.-Vaughan Pit",Vaughan Pit,"E1/2, W1/2, Section 1, T21N, R12E",LIND - T,Waupaca,,31045,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Wayne Morey,Wayne Morey Pit,"NW/SE of Section 24, T37N, R2E",EMERY - T,Price,,43037,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Wayne Nelson,Peterson Hill Pit,"T51N, R4W, Sec. 22",RUSSELL - T,Bayfield,,41869,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Weichelt Trucking and Excavating LLC,Weiler Pond,Int. Ruess Rd and Town Hall Rd,SIGEL - T,Wood,772164030,66646,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"Werner Johann & Son, Inc.",WERNER JOHANN & SON INC,2021 W. Decorah Rd.,WEST BEND - C,Washington,267115750,2907,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
"West Bend Sand & Stone, Inc.",WEST BEND SAND & STONE INC,4246 Hwy 33 West,WEST BEND - C,Washington,267105960,2904,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Western Lime Corp,Western Lime Corp-Nasbro Quarry,W2204 Lomira Dr,LOMIRA - T,Dodge,114089140,30298,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Western Lime Corporation,Brillion Quarry,HWY 10,BRILLION - C,Calumet,399036110,30689,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Western Lime Corporation,Western Lime Corporation Eden Quarry,T14N R18E S7 NE1/4,EDEN - T,Fond Du Lac,420032030,3058,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Westside Materials LLC,Gravel Pit,"T31N,R1W,S12",HAMMEL - T,Taylor,,29064,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Wheaton Town - Elmer Eckwright,Shale Pit,62nd Ave. and 35th St. T28N R10W Sec 4,WHEATON - T,Chippewa,,30900,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Whitewater Limestone Inc,WHITEWATER LIMESTONE,N9074 S FRANKLIN STREET,WHITEWATER - T,Walworth,265083390,2987,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Wiederholt Enterprises LLC,Wiederholt Enterprises LLC,6995 County Hwy J; CTH J & Roaster Rd,Benton - T,Lafayette,133029050,55751,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wieser Concrete Products Inc,Wieser Concrete Products Inc - Maiden Rock-Quarry #2,"W3716 USH 10, Maiden Rock, WI 54750",SALEM - T,Pierce,617004520,21542,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wieser Concrete Products Inc,Wieser Rush River Gravel Operations-Quarry #1,U S Hwy 10 & 390th Ave,SALEM - T,Pierce,648000760,8587,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
