Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
Douglas B Thorp,Douglas B. Thorpe,"T43W,R2W,S23",GORDON - T,Ashland,802000320,16774,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Douglas B Thorp,Thorps Pit,77348 Thunderstick Road,Glidden - C,Ashland,,60227,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Douglas Casey,Casey Pit,"SE1/4, SW1/4, Section 34, T23N, R14E",LEBANON - T,Waupaca,,25421,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Douglas Casey-Colliers Pit,Colliers Pit Tom Barrington property,At West end of Dailey Rd,LEBANON - T,Waupaca,,25420,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Douglas County,County M Pit,9257 E County Road M,GORDON - T,Douglas,,58407,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Douglas County Highway Department,Buckley Island Pit,Wascott,WASCOTT - T,Douglas,,16899,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Douglas County Highway Dept,Pattison Park Pit,3400 E Dump Rd (Hwy 35 to Landfill Rd),SUPERIOR - T,Douglas,,62896,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Douglas Nesja - Nesja Clay Borrow Site,Clay Borrow Site,"SE 1/4, SW 1/4, T 31N, R 10W Sec 15",AUBURN - T,Chippewa,,30874,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Douglas Setterman,Setterman Pit,"1061 9th Street North, Park Falls, Wisconsin",PARK FALLS - C,Price,,40456,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Draeger Trucking & Excavaating LLC,Wokatsch Pit,1357 Whippoorwill Rd,MARATHON - T,Marathon,737240790,52501,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Dresser Trap Rock Inc,Dresser Trap Rock Inc,"T33N,R18W,Sec 5-8",DRESSER - V,Polk,649022000,3124,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Duane Bonack,Bonack Pit,"Winkler Rd, NW SE Sec. 7 T38N R11E",Three lakes - T,Oneida,,58752,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Duffek Sand and Gravel,Kessler Pit,SE SE SEC 6 T41N R4E,SHERMAN - T,Iron,,49147,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Duffek Sand and Gravel,Noskowiak Pit,"SWQ, NWQ, S24, T34N, R6E",ROLLING - T,Langlade,,20297,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Duffek Sand and Gravel,Schramke Pit,"NWQ, NWQ, S17, T34N, R11E",ELCHO - T,Langlade,,20299,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Duffek Sand and Gravel,Suick Pit,"SEQ, SWQ, S17, T31N, R12E",POLAR - T,Langlade,,20300,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Dundee Sand & Gravel Inc Bohn Pit,Dundee Sand & Gravel Inc Bohn Pit,Rustic Lane,OSCEOLA - T,Fond Du Lac,420032910,28937,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Dundee Sand & Gravel Inc Osceloa Pit,Dundee Sand & Gravel Inc Osceola Pit,Rustic Rd,OSCEOLA - T,Fond Du Lac,420033020,28935,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Dunn County Public Works Highway Division,Albricht Pit,SW NW Sec13 T29N R12W,-,Dunn,,58835,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Dunn County Public Works-Highway Division,Finder Pit,SE NE Sec27 T28N R14W,-,Dunn,,58836,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Dunn Trucking Limestone Co,Dunn Trucking Limestone Co Dunn Farm Quarry,"6404 S Dunn Rd, Clinton, WI",BRADFORD - T,Rock,154146520,34259,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dunneisen Sand & Gravel LLC,Dunneisen Sand & Gravel LLC Bankers Pit,"W8215 Hwy 15, Cambridge, WI",OAKLAND - T,Jefferson,128004910,17927,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dwayne A Proffit,Dwayne A Proffit Pit,"T43N,R15W,S34 School Road off SR 35",DAIRYLAND - T,Douglas,,34991,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Ehrler Cobb Quarry,"3725 State Rd 80, Highland, WI 53543",EDEN - T,Iowa,122038730,69139,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Linden Quarry,"3050 State Rd 39, Mineral Point, WI 53565",LINDEN - T,Iowa,125045690,69138,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Bomkamp Quarry,"4165 Tower Rd, Highland, WI 53543",EDEN - T,Iowa,125045800,69140,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Jones Quarry,"1432 County Rd G, Rewey, WI 53580",MIFFLIN - T,Iowa,125045910,69141,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Bockhop Quarry,"20415 Bethel Grove Rd, Belmont, WI 53510",BELMONT - T,Lafayette,133030590,69129,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Aide Quarry,"6315 State Rd 80, Muscoda, WI 53573",PULASKI - T,Iowa,,69135,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Berg Quarry,"W9581 State Rd 81, Argyle, WI",ADAMS - T,Green,,69126,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Flannery Quarry,"12175 North Rd, Argyle, WI 53504",WIOTA - T,Lafayette,,69132,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Hyde Quarry,"5052 County Rd H, Ridgeway, WI 53582",RIDGEWAY - T,Iowa,,69136,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix DBA BARD Materials,Dyersville Ready Mix DBA BARD Materials Kowalski Kieler Quar,"3179 County Rd HH, Cuba City, WI",PARIS - T,Grant,,71259,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Cassville Sand P,"10783 State Rd 133, Cassville, WI",CASSVILLE - T,Grant,122034330,18650,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Deiter Quarry,"Quarry Rd, Cuba City, WI",SMELSER - T,Grant,122047200,18761,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Tennyson Quarry,"County Rd O, Potosi, WI",POTOSI - T,Grant,122056220,18778,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Reynolds Quarry,"S of Hwy 61 and Dry Hollow Rd, Boscobel, WI",MARION - T,Grant,122060620,35335,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Mater Reynolds Muscoda Pit,"N of Rascal Ln & W Pine Rd, Muscoda, WI",MUSCODA - T,Grant,122060730,35336,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Schneider Quarry,"8690 Rusty Ln, Lancaster, WI",SOUTH LANCASTER - T,Grant,122069420,2945,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Klar Quarry,"Southwest Rd, Platteville, WI",PLATTEVILLE - T,Grant,122070630,65427,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Vogt Sand Pit,"1659 Plum Hollow Rd, Hazel Green, WI",JAMESTOWN - T,Grant,122070740,65430,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Ruef Quarry,"14615 CTH K, Darlington, WI",DARLINGTON - T,Lafayette,133030260,65439,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Grant River Pit,"River Lane Rd, Potosi, WI",POTOSI - T,Grant,399135990,38887,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Boscobel Pit,SE of Prairie Du Bay Rd & Hwy 133 North,BOSCOBEL - T,Grant,,47853,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Fairview Quarry,"S of Oak Ridge Rd and Fairview Rd, Lancaster, WI",LIBERTY - T,Grant,,69125,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Dyersville Ready Mix Inc DBA BARD Materials,Dyersville Ready Mix Inc DBA BARD Materials Lange Quarry,"12254 Lange Rd, Darlington, WI",DARLINGTON - T,Lafayette,,65436,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
EBJ Real Estate LLC,Weimert Pit,2362 27th St,DOYLE - T,Barron,,32881,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Earl Ericksen,Ericksen Pit,876 300th Ave,BONE LAKE - T,Polk,,58828,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Earth Inc,Stroetz Quarry,M356 Galvin Ave,MCMILLAN - T,Marathon,399083300,47798,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earth Inc,DB Quarry,581 County Rd DB,DEWEY - T,Portage,399135880,34436,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earth Inc,Heeg Quarry,108223 Chokecherry Rd,HULL - T,Marathon,737240680,48965,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earth Inc,Maple Ridge Pit 2,NW NW Sec 17 T22N R3E,-,Wood,772163480,50862,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earth Inc,HWY 186 Pit,"Driveway on W Side of rd, 0.34 miles north of Maple Rd.",AUBURNDALE - T,Wood,772163590,58204,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earth Inc. Maple Ridge Pit,Earth Inc. Maple Ridge Pit,Driveway just south of 4227 Dairy Rd,DEXTER - T,Wood,772002220,17788,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"Earth, Inc. Cepress/Cary Pit",Cepress/Cary Pit,Co Hwy B & Dabrowski Ln,CARY - T,Wood,772002000,17787,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Earthly Materials,Earthly Materials,12643 W. ST. RD. 27-70,COUDERAY - V,Sawyer,,59053,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Earthworks Excavating Inc,Palmer Road Pit,SE NW Sec 31 T44N R6E,PRESQUE ISLE - T,Vilas,,30058,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Eau Claire River LLC,Murray Pit,"903 60th Ave, Wausau",WAUSAU - T,Marathon,399098700,52845,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eckstein Excavating ECWRPC Pit #7104405,Eckstein Excavating ECWRPC Pit #7104405,County Road M,WINCHESTER - T,Winnebago,471170370,33603,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Gallas-Gallas Pit,Gallas Pit,7856 Gallas Rd,OCONTO FALLS - T,Oconto,,29291,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Gersek Inc,Luxemburg Pit # 1,HWY 54 Luxemburg-Casco,LUXEMBURG - T,Kewaunee,,41321,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Gersek Inc Brussels Pit #7,Ed Gersek Inc Brussels Pit #7,County Road Y,BRUSSELS - T,Door,415001070,15047,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Gersek Inc Oneida Pit #12,Ed Gersek Inc Oneida Pit #12,Pearl Road,ONEIDA - T,Outagamie,998232070,15048,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Koessl Co-Koessl Pit,Ed Koessl Co,"Hwy 57 south of Meadow Road, Baileys Harbor",BAILEYS HARBOR - T,Door,415016250,20626,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ed Maliszewski,Alvin Moga - Sand Pit,"T22N R8-9W Sec35 SW NE , SE SW",LINCOLN - T,Trempealeau,662004750,21564,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eden Stone Co Inc,Marblehead Quarry,W4520 Lime Road,EDEN - V,Fond Du Lac,420001670,15177,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Co Inc Oakfield Stone Quarry,Eden Stone Co Inc Oakfield Stone Quarry,"5751 Cty Rd B, Fond du Lac, WI 54937",OAKFIELD - T,Fond Du Lac,420001780,15178,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Co Inc Valders West,Valders West Quarry,Quarry Road,ROCKLAND - T,Manitowoc,436001720,15215,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Company,Paradise Road Quarry,W3185 Paradise Road,BROTHERTOWN - T,Calumet,408000780,15593,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Company,Jefferson Road Quarry,W2918 East Jefferson Road,BROTHERTOWN - T,Calumet,408000890,15594,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Company Inc,Valders Stone & Marble Inc (Valders Quarry),318 West Washington Street,CATO - T,Manitowoc,436002050,15592,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Eden Stone Company Inc,Mientke Quarry,"NE1/4, SW1/4, Sec 25, T26N, R8E",GUENTHER - T,Marathon,,36274,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"Eden Stone Company, Inc.",Stevens Point Quarry,"CTH C T26N, R8E, S26",GUENTHER - T,Marathon,737004730,15602,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eder Rock - Shale Pit #1,Shale Pit #1,"T29N R10W Sec 5, 12004 20th Street",HOWARD - T,Chippewa,609026880,21679,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Edmund Gersek,Little River Quarry,"SE1/4, SE1/4, Sec. 31, T29N, R21E",LITTLE RIVER - T,Oconto,,27134,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Edward Selz - Sand Pit,Sand Pit,Sec 9,YORK - T,Clark,610019960,21873,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Edwin Siekierzynski--Land Road Pit,Edwin Siekierzynski--Land Road Pit,SENW Sec. 10 T26N R9E,REID - T,Marathon,737064460,17834,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Edwin Siekierzynski--Pit Road Pit,Edwin Siekierzynski--Pit Road Pit,Pit Rd.,REID - T,Marathon,737027390,17830,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Egbert Excavating Inc Pahl Quarry,Egbert Excavating Inc Pahl Quarry,Thomas Road,GREEN LAKE - T,Green Lake,424004240,29472,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Egbert Excavating Inc Roeder Property,Egbert Excavating Inc Roeder Property,W14391 Highway 23/49 Ripon,RIPON - T,Fond Du Lac,,28976,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Egbert Excavating Inc Wick Pit,Egbert Excavating Inc Wick Pit,N5746 Cty Rd T,PRINCETON - T,Green Lake,424005450,29436,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Elam Ray Sensenig,Elam Ray Sensenig Pit,"NE1/4, NE1/4, Sec 5, T29N, R2W",HIXON - T,Clark,610084860,41631,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Ellingson Excavating & Septic LLC,Ellingson sand pit,"T36N, R13W, Sec. 18",LAKELAND - T,Barron,603103050,39050,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Enviro-Services of Wisconsin,Enviro-Services - clay site,T28 R13 Sec21 SE1/4 SW1/4,MENOMONIE - T,Dunn,617003750,20900,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eric Lofgren,County N Pit,CTY Road N,TAYLOR - V,Jackson,627027610,53006,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eugene Heisler Sand and Limestone,Eugene Heisler Sand and Limestone Heisler Pit,832 Lincoln - Spencer Road,SPENCER - T,Marathon,737076450,16448,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Eureka Town of,Mc Curdy Pit,SW SW Sec 23 T35N R19W,-,Polk,649100760,59210,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Eureka Town of,Woltz Pit,SE SE Sec 2 T35N R18W,-,Polk,649100870,59209,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Evenson Construction Co Inc,Olm Pit,Hickory Hills Road,EATON - T,Manitowoc,436001280,3041,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Co Inc,Sukwowaty Pit,Hwy 151,EATON - T,Manitowoc,436001830,15584,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Summit Quarry (David Bertram Property),TWN16N R18E Sec15 NW1/4,TAYCHEEDAH - T,Fond Du Lac,420047980,34633,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Wagner Pit,CTH C (St. Nazianz),LIBERTY - T,Manitowoc,436024930,18074,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Biese Sand & Gravel Pit,Glen Flora Road,EATON - T,Manitowoc,,28924,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Bonde Pit,County F,MEEME - T,Manitowoc,,34377,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Lawrence Sand & Gravel Pit,English Lake Road,LIBERTY - T,Manitowoc,,28925,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Litz Pit,8034 Glen Flora Road,EATON - T,Manitowoc,,28619,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Neumeyer Pit,16833 Christel Road,LIBERTY - T,Manitowoc,,59725,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,School Hill Pit,11909 Mineral Springs Road,MEEME - T,Manitowoc,,28620,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Company Inc,Dvorak Pit,Schaeffer Road,MAPLE GROVE - T,Manitowoc,,18073,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Evenson Construction Inc,Ebbert Quarry,SW 1/4 NE 1/4 T6N R13E,OAKLAND - T,Jefferson,,44062,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Evenson Construction Inc,Evenson Construction Inc Brost Pit,near Hwys C and J,LIBERTY - T,Manitowoc,436001940,15585,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Express Disposal Inc,Express Disposal Inc,"SW Sec. 31, T 28N, R 03W",RESEBURG - T,Clark,610084640,29105,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
F and D Krist Properties LLC,F and D Krist Properties LLC,845 S Bay Shore Drive,SISTER BAY - V,Door,415016140,20624,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
FRAAZA ENTERPRISES PIT,FRAAZA ENTERPRISES PIT,"SE14, NW 1/4, SEC 26, T28N, R9E",RINGLE - T,Marathon,,32293,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"FRANCIS MELVIN, INC. - UERLING PIT",UERLING PIT,"SE 1/4, SW 1/4, S.17, T28N, R01E",COLBY - T,Clark,610020290,23684,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Fahrner Asphalt Sealers LLC,Bancroft Pit & Pagel Pit,Entrance at 8909 Co Rd BB,ALMOND - T,Portage,,29059,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Fahrner Asphalt Sealers LLC,Dewey Granite Quarry,"2931 Sunset Drive, Sec 25, T25N, R7E",STEVENS POINT - C,Portage,,34354,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Fahrner Excavating Inc,Farhner Excavating Sand and Gravel Pit,5030 Pine Tree Ave,PLOVER - V,Portage,,63696,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Faulks Bros Construction Inc,Foley West Pit,Parts of Section 7 and 18 T22N R11E,FARMINGTON - T,Waupaca,,39376,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Faulks Bros Construction Inc Readfield Quarr,Faulks Bros Construction Inc Readfield Quarr,"Section 26, T21N, R14E",CALEDONIA - T,Waupaca,469002160,15019,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Faulks Bros. Construction, Inc.-Faulks Marsh",Faulks Marsh,"SW1/4, SW1/4, Sec.17 & W1/2, NE1/4,and also E1/2, NW14,and also NW1/4, NW1/4, Sec. 20, T22N, R12E",WAUPACA - T,Waupaca,469023060,29653,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Faulks Brothers Construction Inc,Foley East,T22N R11E S7 SE of SW & SW of SE,WAUPACA - C,Waupaca,,37827,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Fenner Excavating,Diemert Pond,"2399 11th Ave, Adams",ADAMS - T,Adams,701062890,71389,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Fenner Excavating,Stalker Pond,"1026 Cty E, Adams",ADAMS - T,Adams,701063000,71617,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Finks Paving & Excavating,Finks Paving & Excavating Finks Quarry,"2732 State Hwy 78, Mount Horeb, WI",BLUE MOUNDS - T,Dane,113405930,54475,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Fitchburg Minerals LLC Hammersly Aggregate,Fitchburg Minerals LLC Hammersly Aggregate Site 85001,"South side of Lacy Rd, near Fitchrona Rd",FITCHBURG - C,Dane,113323760,2783,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Five Star Trucking,Harvey Wellnitz Property,4062 CTH C,MORGAN - T,Oconto,,50751,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Flannery Trucking Inc,Grandview Pit,T36N R13E S33 NW NW,CRANDON - T,Forest,721002700,22030,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Flannery Trucking Inc,County Hwy W Pit,NW NE Sec. 04 T35N R13E and SW SE Sec. 33 T36N R13E,LINCOLN - T,Forest,721002810,22031,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
